Filename	Message timestamp	From	To	Duration
00000001.ogg	12/11/2018  12:37:25	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:02.640)
00000002.ogg	12/11/2018  12:37:50	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:03.000)
00000003.ogg	12/11/2018  12:37:55	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:01.000)
00000004.ogg	12/11/2018  12:38:12	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:03.160)
00000005.ogg	12/11/2018  12:38:19	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:03.260)
00000006.ogg	12/11/2018  12:39:38	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	
00000007.ogg	12/11/2018  14:44:29	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:01.020)
00000008.ogg	12/11/2018  15:01:43	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:03.240)
00000009.ogg	13/11/2018  18:22:35	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:01.800)
00000010.ogg	13/11/2018  18:23:04	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(1:15.600)
00000011.ogg	13/11/2018  18:24:31	artisan3 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:07.260)
00000012.ogg	13/11/2018  18:24:47	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(1:35.640)
00000013.ogg	13/11/2018  18:28:49	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:01.740)
00000014.ogg	13/11/2018  18:29:19	artisan2 > Everyone	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	(0:05.700)
00000015.ogg	14/11/2018  17:26:15	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:02.060)
00000016.ogg	14/11/2018  17:26:32	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:01.920)
00000017.ogg	14/11/2018  17:27:07	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:05.340)
00000018.ogg	14/11/2018  17:27:27	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:17.040)
00000019.ogg	14/11/2018  17:28:15	C:/Users/Guillon/AppData/Local/ZelloWork Artisan/artisan1	Everyone	(0:00.780)
